!   Filename:    dtw007s.dgn
!   Date:        04/03/2020  4:35:04 PM
!   9900    42 12 47.0000  083 22 45.0000
!   9901    00 00 00.0000  083 22 45.0000
!   9902    43 12 47.0000  000 00 00.0000
!   9903    41 12 47.0000  000 00 00.0000
!   9904    00 00 00.0000  000 00 00.0000
!   9905    00 00 00.0000  000 00 00.0000
!   9906    00 00 00.0000  000 00 00.0000
!   9907    00 00 00.0000  000 00 00.0000
!   9908    00 00 00.0000  000 00 00.0000
!   9909    400000
LINE !
LINE !
GP 41 12 13.4331  083 59 46.1061  !
GP 41 11 49.0413  084 46 08.0904  !
LINE !
GP 41 11 07.5686  083 59 45.4838  !
GP 41 12 13.4331  083 59 46.1061  !
LINE !
GP 41 11 05.2352  084 06 22.8280  !
GP 41 12 11.0942  084 06 24.2649  !
LINE !
GP 41 11 02.5186  084 13 00.1649  !
GP 41 12 08.3809  084 13 01.0099  !
LINE !
GP 41 10 59.4188  084 19 37.4933  !
GP 41 12 05.2797  084 19 38.4496  !
LINE !
GP 41 10 55.9358  084 26 14.8118  !
GP 41 12 01.7951  084 26 15.8793  !
LINE !
GP 41 10 46.9245  084 40 48.8711  !
GP 41 11 52.7796  084 40 50.1835  !
LINE !
GP 41 10 46.0133  084 42 08.3272  !
GP 41 11 51.8680  084 42 09.6618  !
LINE !
GP 41 10 45.0868  084 43 27.7822  !
GP 41 11 50.9411  084 43 29.1391  !
LINE !
GP 41 10 44.1450  084 44 47.2362  !
GP 41 11 49.9989  084 44 48.6153  !
LINE !
GP 41 16 44.3966  082 47 19.5840  !
GP 41 16 18.4124  081 57 52.2502  !
LINE !
GP 41 16 44.3966  082 47 19.5840  !
GP 41 08 39.7066  082 47 23.9640  !
LINE !
GP 41 11 45.3944  082 47 22.2888  !
GP 41 11 19.4641  081 57 58.7296  !
LINE !
GP 41 11 37.4967  082 27 26.3875  !
GP 41 08 31.8191  082 27 29.0062  !
LINE !
GP 41 11 31.2822  082 15 48.3490  !
GP 41 08 25.6125  082 15 51.5184  !
LINE !
GP 41 11 26.8068  082 08 32.9564  !
GP 41 08 21.1430  082 08 36.4692  !
LINE !
GP 42 13 12.8000  083 45 00.3000  !
GP 42 13 32.9000  083 44 22.4000  !
LINE !
GP 42 13 29.7000  083 45 03.0000  !
GP 42 13 15.2000  083 44 32.0000  !
LINE !
GP 42 13 55.8000  083 32 30.0000  !
GP 42 14 36.4000  083 31 32.0000  !
LINE !
GP 42 13 50.2000  083 32 23.4000  !
GP 42 14 41.3000  083 31 10.4000  !
LINE !
GP 42 14 38.2000  083 32 35.9000  !
GP 42 14 40.0000  083 30 59.0000  !
LINE !
GP 42 25 04.6000  083 00 58.4000  !
GP 42 24 24.3000  083 00 17.9000  !
LINE !
GP 42 24 10.3000  083 00 56.6000  !
GP 42 24 26.8000  083 00 12.4000  !
LINE !
GP 42 39 58.0000  083 26 03.8000  !
GP 42 40 00.3000  083 24 47.9000  !
LINE !
GP 42 40 08.4000  083 24 34.3000  !
GP 42 39 43.2000  083 24 29.3000  !
LINE !
GP 42 39 52.6000  083 26 03.5000  !
GP 42 39 55.2000  083 24 36.3000  !
LINE !
GP 42 36 05.5000  082 50 14.4000  !
GP 42 37 34.4000  082 50 11.3000  !
LINE !
GP 41 42 38.2068  083 19 04.9080  !
GP 41 42 35.1053  083 21 23.7949  !
LINE !
GP 41 42 06.3180  083 41 29.0220  !
GP 41 43 02.7683  083 41 04.9560  !
LINE !
GP 41 48 10.9800  083 04 43.3776  !
GP 41 47 21.7625  083 05 24.6738  !
LINE !
GP 41 48 20.5344  083 20 28.2480  !
GP 41 47 28.2033  083 20 15.4916  !
LINE !
GP 41 46 18.4944  082 42 54.4572  !
GP 41 47 30.8891  082 44 43.3261  !
LINE !
GP 42 03 26.2618  084 00 01.7670  !
GP 42 03 57.5280  083 57 43.0524  !
LINE !
GP 42 05 31.0049  083 15 02.0820  !
GP 42 05 02.7895  083 13 50.9575  !
LINE !
GP 42 08 45.5926  083 23 35.3804  !
GP 42 08 18.5474  083 22 23.3802  !
LINE !
GP 42 08 57.3751  083 10 59.4460  !
GP 42 09 20.8656  083 12 12.6648  !
LINE !
GP 42 08 46.9616  083 09 38.3808  !
GP 42 08 33.5976  083 09 45.3888  !
LINE !
GP 42 09 44.6043  083 13 26.7598  !
GP 42 09 53.9125  083 13 55.8288  !
LINE !
GP 42 13 46.9464  083 25 05.0991  !
GP 42 13 17.8620  083 23 54.4565  !
LINE !
GP 42 15 20.3843  083 28 51.3939  !
GP 42 15 49.5872  083 30 01.9855  !
LINE !
GP 42 21 09.2371  083 20 04.8067  !
GP 42 20 40.6043  083 18 53.6940  !
LINE !
GP 42 23 39.7839  082 44 26.3909  !
GP 42 25 13.4516  082 45 30.0662  !
LINE !
GP 42 24 45.1503  083 28 43.7907  !
GP 42 24 15.6930  083 27 33.2265  !
LINE !
